Название,Группа товара,Цена,Наличие
Phrozen Sonic Mini 8K  3D ,"принтер, область построения 165 x 72 x 180 мм",69 990 ₽,Под заказ
HLW 116B  ,щипцы для удаления зубов детские нижние моляры,4 400 ₽,Под заказ
Renfert ,"Материал абразивный для пескоструйных аппаратов Rolloblast, 50 мкм, 5кг",2 990 ₽,Под заказ
HLW ,Распатор для фиксации пинов и мембран,2 600 ₽,Под заказ
Ivoclar Vivadent ,"Блоки IPS e.max CAD для CEREC и inLab LT B1, C14/5, по 1х5",8 990 ₽,Под заказ
SciCan ,Вставка в тележку на 2 корзины (178) и 10 лотков с габаритами до 254х200х30 мм...,19 620 ₽,на складе
SAM ASP 435 Axiosplit  ,"защитное кольцо, 2 шт.",1 830 ₽,на складе
Artinox ARZ30  ,"стул, цвет голубой, металлическая основа",Свяжитесь с нами насчёт цены,Под заказ
Renfert ,Сопло Бор-карбидное,41 990 ₽,Под заказ
Lambda Doctor Smile LWS  ,система отбеливания,12 880 ₽,на складе
JG0031  ,Крышка для бутыли чистой воды,260 ₽,на складе
Asiga MAX Build Tray  ,"встраиваемый лоток для принтера MAX, объём 10 л",38 700 ₽,Под заказ
,"Аверон МОДЕЛЛЕР М 6.1 С - насадка сенсорная для электрошпателей АВЕРОН, форма - лопат...",Свяжитесь с нами насчёт цены,Под заказ
Woodpecker US2  ,"насадка к аппарату Ultrasurgery DS-II LED, для остеотомии на нижней ...",4 800 ₽,Под заказ
Parker Hannifin ,Шланг для кислорода к стационарному аппарату,6 350 ₽,на складе
,Аверон ЛЮКС 1.0 МАСТЕР НЬЮ - многофункциональный светодиодный светильник для столов С...,33 900 ₽,на складе
HLW ,"Щипцы Джарабака для формирования петель, 13 см",2 800 ₽,Под заказ
,"Аверон ТС 3.0 М - сопло твердосплавное, диаметр 3.0 мм",Свяжитесь с нами насчёт цены,Под заказ
,"Армед Экокварц 15М - рециркулятор, цвет белый",Свяжитесь с нами насчёт цены,Под заказ
Romax YS18L  ,"автоклав класса B, 18 л",119 200 ₽,на складе
Woodpecker ES15  ,насадка эндодонтическая для скалеров Woodpecker,1 900 ₽,Под заказ
,"Аверон ТС 2.0 - сопло твердосплавное, диаметр 2.0 мм",Свяжитесь с нами насчёт цены,Под заказ
Haishu LF22LE  ,"автоклав класса B, объем камеры 22 л",139 690 ₽,на складе
Labomed ,Ремкомплект для бинокуляров микроскопа Labomed,40 ₽,на складе
Refine ACure Plus  ,беспроводная светодиодная полимеризационная лампа,18 600 ₽,в наличии
Renfert ,"Отсасывающий шланг для вытяжек Renfert, длина 9м",Свяжитесь с нами насчёт цены,Под заказ
,"Виталия Т6 - тумба напольная на подиуме серия Люкс, 6 выдвижных ящиков, без столешницы",Свяжитесь с нами насчёт цены,Под заказ
Datum Dental OSSIX Bone 5 x 5 x 5 ,мм (0.125 cc) - костный материал (коллаген+гидрокси...,7 350 ₽,на складе
,"Ферропласт ШЭ-22-Я-ФП-01-2 - шкаф для хранения гибких эндоскопов, с рециркулятором РБ...",Свяжитесь с нами насчёт цены,Под заказ
Ekom DO 2.110  ,"дентальный аспиратор с шкафом, размеры как DK50-10 S",57 930 ₽,на складе
Renfert ,"Жидкое изолирующее средство на силиконовой основе picosep, 30 мл",900 ₽,Под заказ
HLW ,"Зонд стоматологический односторонний гибкий, форма №3А",700 ₽,Под заказ
Appollo BIV  ,стоматологическая установка с нижней подачей инструментов,288 240 ₽,на складе
Renfert ,"Кисточка CERAMICUS, размер 1/0, 2 шт",1 900 ₽,Под заказ
Woodpecker P5  ,"насадка к скалеру, для удаления зубного камня и глубоких отложений в ...",1 990 ₽,Под заказ
Dezaurum ,"Дез-6 - средство дезинфицирующее для поверхностей и оборудования, без отдушк...",2 340 ₽,на складе
HLW 328  ,щипцы ортодонтические для формирования петель,2 500 ₽,Под заказ
,"Кронт ОБН-150-КРОНТ - облучатель воздуха ультрафиолетовый бактерицидный настенный, со...",Свяжитесь с нами насчёт цены,Под заказ
Asa Dental ,"Ложка слепочная нижняя очень большая (XL) с перфорацией с бортиками, с цве...",390 ₽,на складе
