Название,Группа товара,Цена,Наличие
,"Касимовский Приборный Завод СЕ 103М - стол-тумба передвижной, металлический с 5 выдви...",26 400 ₽,на складе
Asa Dental ,"Зеркало без ручки, не увеличивающее, с родиевым покрытием, с технологией T...",240 ₽,на складе
Mercury STAR 200EM  ,встраиваемый бесколлекторный электрический микромотор с фиброопт...,36 000 ₽,на складе
Dentsply Sirona T3 LINE E 40  ,"угловой наконечник без света, 1:1",15 990 ₽,в наличии
,Ферропласт РБ-06-Я ФП - ультрафиолетовый бактерицидный рециркулятор с обслуживаемой п...,18 100 ₽,на складе
HLW ,"Ложка кюретажная Lukas, 2,0 мм",800 ₽,Под заказ
Cattani UniJet 75  ,"вакуумная помпа для одной стоматологической установки, без кожуха",21 110 ₽,на складе
Woodpecker UDS LED  ,"автономный ультразвуковой скалер с фиброоптикой, в комплекте 6 н...",22 800 ₽,на складе
Silfradent Evolution EV1 SJ  ,пароструйный аппарат,69 660 ₽,на складе
,Аверон ВБ 1.1 - вибростол,17 500 ₽,на складе
Amann Girrbach Artex Facebow  ,лицевая дуга,67 270 ₽,на складе
Ajax AJ 16  ,"стоматологическая установка с нижней подачей инструментов, экокожа/черны...",818 000 ₽,на складе
W&H ,"Масло и жидкость для аппарата Assistina (комплект: сервисное масло MD-500, 0,5 л ...",13 340 ₽,на складе
,"ПИК ССМ-3.0 - столик медицинский подкатной, три выдвижных ящика",23 600 ₽,на складе
Woodpecker UDSN3 LED  ,встраиваемый ультразвуковой скалер с LED-подсветкой наконечника,17 900 ₽,на складе
Saeshin Strong 90N/105L  ,"щеточный микромотор с наконечником 105L, педаль включения-в...",10 000 ₽,на складе
Mercury 222  ,"угловой наконечник с кнопочным зажимом бора, 1:1",5 990 ₽,в наличии
,"Сонис ТЭШ ""СОНИС"" - электрошпатель",5 500 ₽,в наличии
Dentsply Maillefer Calamus Dual  ,аппарат для 3-х мерной обтурации каналов,224 000 ₽,на складе
,ВЭМЗ Лига-02С - сварочный аппарат на воде,43 950 ₽,на складе
VDW Raypex 6  ,электронно-цифровой апекслокатор 6-го поколения,99 040 ₽,на складе
P&T Medical BTY700  ,"аппарат для чистки и смазки наконечников, до 3-х одновременно",50 320 ₽,в наличии
NSK Nakanishi SMax M95  ,"угловой наконечник без оптики, 1:5",34 900 ₽,в наличии
Dr.Kim DKL5  ,стекла повышенной детализации с увеличением 1.5х и широким полем для н...,10 120 ₽,в наличии
EMS AIRFLOW HANDY 2 plus Midwest  ,"пескоструйный аппарат для соединения Midwest, ант...",112 350 ₽,на складе
Genoray PORTX II  ,портативный высокочастотный интраоральный рентгеновский аппарат,143 500 ₽,на складе
Ultradent VALO  ,проводная светодиодная фотополимеризационная лампа c тремя режимами ...,175 900 ₽,на складе
HLW ,"Ножницы медицинские изогнутые Iris, 115 мм",1 200 ₽,Под заказ
Vilitek VBS1H  ,стандартная ультразвуковая ванна с механическим таймером и подогрево...,10 930 ₽,на складе
,Ферропласт РБ-18-Я-ФП-02 - облучатель-рециркулятор,9 990 ₽,в наличии
BienAir Bora L  ,"турбинный наконечник с подсветкой, керамическими подшипниками, кноп...",33 990 ₽,на складе
W&H ,"Ирригационные системы (трубки) для физиодиспенсера ImplantMed, одноразовые (6 шт....",7 080 ₽,на складе
KaVo SMARTtorque S609 C  ,турбинный наконечник с четырехточечным спреем и керамически...,16 810 ₽,на складе
Dr.Kim DKT3  ,"бинокулярные лупы с увеличением 3х, с настраиваемым межзрачковым и фок...",59 510 ₽,в наличии
DentLight iZoom  ,"стоматологические бинокулярные лупы системы Flip-up, с мультизумом ...",43 540 ₽,на складе
